platform,raw_text,created_at,url,metadata
forum,Where do you buy detergent — Blinkit or Nykaa? BigBasket still wins here for me.,2024-04-19T12:48:50+00:00,https://team-bhp.com/question/blinkit-0,"{""forum_site"":""team-bhp""}"
forum,Is Blinkit good for baby care? Looking for diapers but can't find it. Instamart has better variety lately.,2023-05-08T08:12:02+00:00,https://team-bhp.com/question/blinkit-1,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for personal care is weak compared to BigBasket. Nykaa feels safer for this purchase.,2023-11-02T03:30:47+00:00,https://team-bhp.com/question/blinkit-2,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for baby care is weak compared to BigBasket. Amazon is my fallback always.,2023-04-28T03:06:50+00:00,https://quora.com/question/blinkit-3,"{""forum_site"":""quora""}"
forum,Blinkit assortment for pet supplies is weak compared to BigBasket. Would buy if assortment improved.,2024-09-21T08:30:27+00:00,https://quora.com/question/blinkit-4,"{""forum_site"":""quora""}"
forum,Blinkit assortment for pet supplies is weak compared to BigBasket. Needs better in-app discovery.,2024-02-09T20:28:50+00:00,https://team-bhp.com/question/blinkit-5,"{""forum_site"":""team-bhp""}"
forum,Where do you buy shampoo — Blinkit or Nykaa? Never saw an promo for this category.,2024-09-01T17:23:56+00:00,https://quora.com/question/blinkit-6,"{""forum_site"":""quora""}"
forum,Is Blinkit good for stationery? Looking for notebooks but can't find it. Category tab feels hidden.,2024-12-22T21:18:51+00:00,https://quora.com/question/blinkit-7,"{""forum_site"":""quora""}"
forum,Where do you buy milk — Blinkit or Nykaa? Search never surfaces these products.,2025-02-19T02:09:10+00:00,https://quora.com/question/blinkit-8,"{""forum_site"":""quora""}"
forum,Blinkit assortment for electronics is weak compared to BigBasket. Price seems higher than competitors.,2023-09-15T15:05:44+00:00,https://quora.com/question/blinkit-9,"{""forum_site"":""quora""}"
forum,Is Blinkit good for home essentials? Looking for detergent but can't find it.,2023-10-06T07:00:59+00:00,https://quora.com/question/blinkit-10,"{""forum_site"":""quora""}"
forum,Where do you buy detergent — Blinkit or Nykaa? Delivery was fine though.,2023-03-04T18:57:37+00:00,https://quora.com/question/blinkit-11,"{""forum_site"":""quora""}"
forum,Is Blinkit good for home essentials? Looking for detergent but can't find it. Might switch to Zepto next time.,2023-04-08T15:38:02+00:00,https://team-bhp.com/question/blinkit-12,"{""forum_site"":""team-bhp""}"
forum,Is Blinkit good for health pharmacy? Looking for vitamins but can't find it. Been using Blinkit for two years.,2023-03-08T12:00:51+00:00,https://quora.com/question/blinkit-13,"{""forum_site"":""quora""}"
forum,Where do you buy vitamins — Blinkit or Nykaa? Same thought last month.,2024-12-30T14:43:27+00:00,https://team-bhp.com/question/blinkit-14,"{""forum_site"":""team-bhp""}"
forum,Is Blinkit good for pet supplies? Looking for dog food but can't find it. Noticed this after the app update.,2024-05-18T10:14:48+00:00,https://quora.com/question/blinkit-15,"{""forum_site"":""quora""}"
forum,Blinkit assortment for stationery is weak compared to BigBasket. My friends feel the same.,2024-02-14T01:08:04+00:00,https://quora.com/question/blinkit-16,"{""forum_site"":""quora""}"
forum,Blinkit assortment for groceries is weak compared to BigBasket. Especially in Bangalore.,2024-08-11T00:11:35+00:00,https://team-bhp.com/question/blinkit-17,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for baby care is weak compared to BigBasket. Happens every reorder cycle.,2024-01-26T19:49:16+00:00,https://team-bhp.com/question/blinkit-18,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for electronics is weak compared to BigBasket. Wish the homepage showed this category.,2024-09-22T10:53:38+00:00,https://team-bhp.com/question/blinkit-19,"{""forum_site"":""team-bhp""}"
forum,Where do you buy vitamins — Blinkit or Nykaa? BigBasket still wins here for me.,2025-01-18T22:22:00+00:00,https://quora.com/question/blinkit-20,"{""forum_site"":""quora""}"
forum,Where do you buy shampoo — Blinkit or Nykaa? Instamart has better variety lately.,2023-09-15T06:13:57+00:00,https://quora.com/question/blinkit-21,"{""forum_site"":""quora""}"
forum,Blinkit assortment for baby care is weak compared to BigBasket. Nykaa feels safer for this purchase.,2024-03-12T05:20:14+00:00,https://quora.com/question/blinkit-22,"{""forum_site"":""quora""}"
forum,Is Blinkit good for personal care? Looking for shampoo but can't find it. Amazon is my fallback always.,2023-09-02T10:42:26+00:00,https://team-bhp.com/question/blinkit-23,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for baby care is weak compared to BigBasket. Would buy if assortment improved.,2023-12-24T19:56:01+00:00,https://team-bhp.com/question/blinkit-24,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for health pharmacy is weak compared to BigBasket. Needs better in-app discovery.,2023-06-26T01:34:22+00:00,https://team-bhp.com/question/blinkit-25,"{""forum_site"":""team-bhp""}"
forum,Where do you buy detergent — Blinkit or Nykaa? Never saw an promo for this category.,2023-11-24T07:36:45+00:00,https://quora.com/question/blinkit-26,"{""forum_site"":""quora""}"
forum,Is Blinkit good for groceries? Looking for milk but can't find it. Category tab feels hidden.,2024-01-14T12:41:15+00:00,https://quora.com/question/blinkit-27,"{""forum_site"":""quora""}"
forum,Blinkit assortment for personal care is weak compared to BigBasket. Search never surfaces these products.,2023-09-08T07:19:47+00:00,https://quora.com/question/blinkit-28,"{""forum_site"":""quora""}"
forum,Blinkit assortment for pet supplies is weak compared to BigBasket. Price seems higher than competitors.,2023-08-17T03:31:40+00:00,https://quora.com/question/blinkit-29,"{""forum_site"":""quora""}"
forum,Where do you buy shampoo — Blinkit or Nykaa?,2023-10-07T16:17:09+00:00,https://team-bhp.com/question/blinkit-30,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for pet supplies is weak compared to BigBasket. Delivery was fine though.,2024-03-16T07:57:15+00:00,https://quora.com/question/blinkit-31,"{""forum_site"":""quora""}"
forum,Where do you buy earphones — Blinkit or Nykaa? Might switch to Zepto next time.,2025-01-02T07:34:02+00:00,https://team-bhp.com/question/blinkit-32,"{""forum_site"":""team-bhp""}"
forum,Is Blinkit good for personal care? Looking for shampoo but can't find it. Been using Blinkit for two years.,2024-09-30T02:29:53+00:00,https://quora.com/question/blinkit-33,"{""forum_site"":""quora""}"
forum,Blinkit assortment for personal care is weak compared to BigBasket. Same thought last month.,2025-03-04T12:11:14+00:00,https://team-bhp.com/question/blinkit-34,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for personal care is weak compared to BigBasket. Noticed this after the app update.,2024-06-16T07:42:39+00:00,https://team-bhp.com/question/blinkit-35,"{""forum_site"":""team-bhp""}"
forum,Is Blinkit good for baby care? Looking for diapers but can't find it. My friends feel the same.,2024-08-10T12:44:28+00:00,https://team-bhp.com/question/blinkit-36,"{""forum_site"":""team-bhp""}"
forum,Is Blinkit good for personal care? Looking for shampoo but can't find it. Especially in Bangalore.,2023-01-26T17:29:58+00:00,https://quora.com/question/blinkit-37,"{""forum_site"":""quora""}"
forum,Is Blinkit good for groceries? Looking for milk but can't find it. Happens every reorder cycle.,2023-05-30T14:16:16+00:00,https://quora.com/question/blinkit-38,"{""forum_site"":""quora""}"
forum,Blinkit assortment for home essentials is weak compared to BigBasket. Wish the homepage showed this category.,2023-03-02T15:23:18+00:00,https://quora.com/question/blinkit-39,"{""forum_site"":""quora""}"
forum,Where do you buy diapers — Blinkit or Nykaa? BigBasket still wins here for me.,2023-07-22T11:00:40+00:00,https://quora.com/question/blinkit-40,"{""forum_site"":""quora""}"
forum,Blinkit assortment for groceries is weak compared to BigBasket. Instamart has better variety lately.,2024-10-15T12:14:13+00:00,https://team-bhp.com/question/blinkit-41,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for pet supplies is weak compared to BigBasket. Nykaa feels safer for this purchase.,2025-04-03T00:59:29+00:00,https://team-bhp.com/question/blinkit-42,"{""forum_site"":""team-bhp""}"
forum,Where do you buy earphones — Blinkit or Nykaa? Amazon is my fallback always.,2024-08-15T05:31:36+00:00,https://team-bhp.com/question/blinkit-43,"{""forum_site"":""team-bhp""}"
forum,Where do you buy diapers — Blinkit or Nykaa? Would buy if assortment improved.,2023-07-27T23:31:26+00:00,https://team-bhp.com/question/blinkit-44,"{""forum_site"":""team-bhp""}"
forum,Is Blinkit good for home essentials? Looking for detergent but can't find it. Needs better in-app discovery.,2023-05-11T04:56:45+00:00,https://team-bhp.com/question/blinkit-45,"{""forum_site"":""team-bhp""}"
forum,Where do you buy milk — Blinkit or Nykaa? Never saw an promo for this category.,2023-10-21T15:12:51+00:00,https://quora.com/question/blinkit-46,"{""forum_site"":""quora""}"
forum,Blinkit assortment for pet supplies is weak compared to BigBasket. Category tab feels hidden.,2025-03-22T17:43:36+00:00,https://quora.com/question/blinkit-47,"{""forum_site"":""quora""}"
forum,Where do you buy dog food — Blinkit or Nykaa? Search never surfaces these products.,2023-11-16T02:33:50+00:00,https://team-bhp.com/question/blinkit-48,"{""forum_site"":""team-bhp""}"
forum,Where do you buy milk — Blinkit or Nykaa? Price seems higher than competitors.,2023-06-15T13:42:37+00:00,https://quora.com/question/blinkit-49,"{""forum_site"":""quora""}"
forum,Blinkit assortment for groceries is weak compared to BigBasket.,2024-01-30T00:06:48+00:00,https://team-bhp.com/question/blinkit-50,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for groceries is weak compared to BigBasket. Delivery was fine though.,2024-07-22T00:11:59+00:00,https://team-bhp.com/question/blinkit-51,"{""forum_site"":""team-bhp""}"
forum,Is Blinkit good for groceries? Looking for milk but can't find it. Might switch to Zepto next time.,2024-10-03T22:15:44+00:00,https://team-bhp.com/question/blinkit-52,"{""forum_site"":""team-bhp""}"
forum,Where do you buy shampoo — Blinkit or Nykaa? Been using Blinkit for two years.,2025-05-18T12:31:43+00:00,https://team-bhp.com/question/blinkit-53,"{""forum_site"":""team-bhp""}"
forum,Where do you buy notebooks — Blinkit or Nykaa? Same thought last month.,2024-06-18T22:32:00+00:00,https://team-bhp.com/question/blinkit-54,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for personal care is weak compared to BigBasket. My friends feel the same.,2023-07-04T23:50:20+00:00,https://quora.com/question/blinkit-55,"{""forum_site"":""quora""}"
forum,Blinkit assortment for home essentials is weak compared to BigBasket. My friends feel the same.,2023-09-09T08:09:33+00:00,https://quora.com/question/blinkit-56,"{""forum_site"":""quora""}"
forum,Blinkit assortment for electronics is weak compared to BigBasket. Especially in Bangalore.,2024-09-14T05:59:34+00:00,https://team-bhp.com/question/blinkit-57,"{""forum_site"":""team-bhp""}"
forum,Is Blinkit good for pet supplies? Looking for dog food but can't find it. Happens every reorder cycle.,2024-08-27T10:50:11+00:00,https://quora.com/question/blinkit-58,"{""forum_site"":""quora""}"
forum,Is Blinkit good for baby care? Looking for diapers but can't find it. Wish the homepage showed this category.,2025-01-02T17:04:55+00:00,https://team-bhp.com/question/blinkit-59,"{""forum_site"":""team-bhp""}"
forum,Is Blinkit good for baby care? Looking for diapers but can't find it. BigBasket still wins here for me.,2024-02-13T16:46:50+00:00,https://quora.com/question/blinkit-60,"{""forum_site"":""quora""}"
forum,Is Blinkit good for health pharmacy? Looking for vitamins but can't find it. Instamart has better variety lately.,2023-02-28T15:37:15+00:00,https://team-bhp.com/question/blinkit-61,"{""forum_site"":""team-bhp""}"
forum,Blinkit assortment for groceries is weak compared to BigBasket. Nykaa feels safer for this purchase.,2025-03-20T08:29:40+00:00,https://team-bhp.com/question/blinkit-62,"{""forum_site"":""team-bhp""}"
