content,rating,updated,link,title
Why doesn't Blinkit have vitamins? I always buy from Amazon instead.,5,2024-08-22T21:18:58+00:00,https://apps.apple.com/app/blinkit/review/200000,Review 0
Why doesn't Blinkit have vitamins? I always buy from Amazon instead. Might switch to Zepto next time.,3,2023-02-13T18:54:28+00:00,https://apps.apple.com/app/blinkit/review/200001,Review 1
Good app but missing diapers. Nykaa has better personal care range. Might switch to Zepto next time.,5,2024-06-04T20:31:49+00:00,https://apps.apple.com/app/blinkit/review/200002,Review 2
Blinkit is great for groceries but I never think to order personal care here. Been using Blinkit for two years.,5,2024-03-21T15:38:20+00:00,https://apps.apple.com/app/blinkit/review/200003,Review 3
"Blinkit pe home essentials nahi milta, Amazon se order karta hoon. My friends feel the same.",5,2023-08-04T14:33:59+00:00,https://apps.apple.com/app/blinkit/review/200004,Review 4
I wish Blinkit had more brands in home essentials. Zepto seems better for that. Noticed this after the app update.,5,2023-01-09T03:46:43+00:00,https://apps.apple.com/app/blinkit/review/200005,Review 5
Fast delivery for milk and bread but pet supplies selection is very limited. My friends feel the same.,5,2023-12-02T00:11:29+00:00,https://apps.apple.com/app/blinkit/review/200006,Review 6
Blinkit is great for groceries but I never think to order groceries here. Especially in Bangalore.,3,2024-03-23T13:12:19+00:00,https://apps.apple.com/app/blinkit/review/200007,Review 7
Blinkit is great for groceries but I never think to order baby care here. Happens every reorder cycle.,4,2024-01-06T09:40:08+00:00,https://apps.apple.com/app/blinkit/review/200008,Review 8
Blinkit is great for groceries but I never think to order home essentials here. BigBasket still wins here for me.,5,2023-06-22T05:04:54+00:00,https://apps.apple.com/app/blinkit/review/200009,Review 9
Didn't know Blinkit sells home essentials until my friend mentioned it. BigBasket still wins here for me.,1,2025-04-12T17:32:01+00:00,https://apps.apple.com/app/blinkit/review/200010,Review 10
"Blinkit pe electronics nahi milta, Amazon se order karta hoon. Instamart has better variety lately.",3,2023-08-12T00:55:57+00:00,https://apps.apple.com/app/blinkit/review/200011,Review 11
Didn't know Blinkit sells pet supplies until my friend mentioned it. Nykaa feels safer for this purchase.,3,2024-07-02T01:56:07+00:00,https://apps.apple.com/app/blinkit/review/200012,Review 12
Why doesn't Blinkit have milk? I always buy from Amazon instead. Needs better in-app discovery.,4,2023-05-13T23:55:10+00:00,https://apps.apple.com/app/blinkit/review/200013,Review 13
Blinkit is great for groceries but I never think to order health pharmacy here. Would buy if assortment improved.,4,2025-03-28T04:55:03+00:00,https://apps.apple.com/app/blinkit/review/200014,Review 14
I wish Blinkit had more brands in pet supplies. Zepto seems better for that. Needs better in-app discovery.,1,2024-12-31T07:54:22+00:00,https://apps.apple.com/app/blinkit/review/200015,Review 15
Fast delivery for milk and bread but groceries selection is very limited. Search never surfaces these products.,5,2024-01-30T00:46:01+00:00,https://apps.apple.com/app/blinkit/review/200016,Review 16
Good app but missing vitamins. Nykaa has better personal care range. Category tab feels hidden.,3,2023-04-15T22:48:10+00:00,https://apps.apple.com/app/blinkit/review/200017,Review 17
Good app but missing diapers. Nykaa has better personal care range. Search never surfaces these products.,2,2024-05-31T13:11:32+00:00,https://apps.apple.com/app/blinkit/review/200018,Review 18
Didn't know Blinkit sells health pharmacy until my friend mentioned it. Price seems higher than competitors.,5,2024-06-09T21:57:23+00:00,https://apps.apple.com/app/blinkit/review/200019,Review 19
Good app but missing shampoo. Nykaa has better personal care range.,5,2024-12-22T18:23:49+00:00,https://apps.apple.com/app/blinkit/review/200020,Review 20
"Blinkit pe home essentials nahi milta, Amazon se order karta hoon. Delivery was fine though.",5,2023-10-11T03:48:58+00:00,https://apps.apple.com/app/blinkit/review/200021,Review 21
"Blinkit pe baby care nahi milta, Amazon se order karta hoon. Might switch to Zepto next time.",1,2024-12-11T23:31:53+00:00,https://apps.apple.com/app/blinkit/review/200022,Review 22
Blinkit is great for groceries but I never think to order electronics here. Been using Blinkit for two years.,5,2023-11-06T20:46:27+00:00,https://apps.apple.com/app/blinkit/review/200023,Review 23
Fast delivery for milk and bread but health pharmacy selection is very limited. Same thought last month.,4,2025-03-11T14:53:34+00:00,https://apps.apple.com/app/blinkit/review/200024,Review 24
Fast delivery for milk and bread but home essentials selection is very limited. Noticed this after the app update.,5,2023-02-26T21:19:16+00:00,https://apps.apple.com/app/blinkit/review/200025,Review 25
Fast delivery for milk and bread but electronics selection is very limited. My friends feel the same.,5,2024-07-08T12:57:42+00:00,https://apps.apple.com/app/blinkit/review/200026,Review 26
Good app but missing dog food. Nykaa has better personal care range. Especially in Bangalore.,3,2024-05-30T15:02:57+00:00,https://apps.apple.com/app/blinkit/review/200027,Review 27
I wish Blinkit had more brands in health pharmacy. Zepto seems better for that. Happens every reorder cycle.,5,2024-09-13T09:53:33+00:00,https://apps.apple.com/app/blinkit/review/200028,Review 28
Fast delivery for milk and bread but groceries selection is very limited. Nykaa feels safer for this purchase.,4,2023-10-18T05:03:02+00:00,https://apps.apple.com/app/blinkit/review/200029,Review 29
Fast delivery for milk and bread but home essentials selection is very limited. BigBasket still wins here for me.,3,2025-03-17T16:00:25+00:00,https://apps.apple.com/app/blinkit/review/200030,Review 30
"Blinkit pe baby care nahi milta, Amazon se order karta hoon. Instamart has better variety lately.",1,2024-10-21T10:29:40+00:00,https://apps.apple.com/app/blinkit/review/200031,Review 31
Didn't know Blinkit sells personal care until my friend mentioned it. Nykaa feels safer for this purchase.,3,2024-04-01T08:24:21+00:00,https://apps.apple.com/app/blinkit/review/200032,Review 32
Fast delivery for milk and bread but baby care selection is very limited. Amazon is my fallback always.,3,2024-04-04T06:15:22+00:00,https://apps.apple.com/app/blinkit/review/200033,Review 33
Why doesn't Blinkit have milk? I always buy from Amazon instead. Never saw an promo for this category.,4,2024-11-20T14:06:14+00:00,https://apps.apple.com/app/blinkit/review/200034,Review 34
"Blinkit pe pet supplies nahi milta, Amazon se order karta hoon. Never saw an promo for this category.",4,2024-07-01T16:21:49+00:00,https://apps.apple.com/app/blinkit/review/200035,Review 35
Fast delivery for milk and bread but groceries selection is very limited. Delivery was fine though.,1,2023-03-31T02:27:49+00:00,https://apps.apple.com/app/blinkit/review/200036,Review 36
Fast delivery for milk and bread but groceries selection is very limited. Been using Blinkit for two years.,5,2025-03-08T01:13:59+00:00,https://apps.apple.com/app/blinkit/review/200037,Review 37
Blinkit is great for groceries but I never think to order personal care here. Search never surfaces these products.,5,2023-08-10T19:12:15+00:00,https://apps.apple.com/app/blinkit/review/200038,Review 38
Blinkit is great for groceries but I never think to order home essentials here. Price seems higher than competitors.,1,2023-07-16T02:11:47+00:00,https://apps.apple.com/app/blinkit/review/200039,Review 39
Fast delivery for milk and bread but health pharmacy selection is very limited.,5,2024-08-17T17:50:47+00:00,https://apps.apple.com/app/blinkit/review/200040,Review 40
Didn't know Blinkit sells pet supplies until my friend mentioned it. Delivery was fine though.,4,2023-08-27T08:35:21+00:00,https://apps.apple.com/app/blinkit/review/200041,Review 41
Fast delivery for milk and bread but health pharmacy selection is very limited. Might switch to Zepto next time.,5,2024-11-20T15:15:22+00:00,https://apps.apple.com/app/blinkit/review/200042,Review 42
Didn't know Blinkit sells personal care until my friend mentioned it. Been using Blinkit for two years.,4,2024-07-24T00:53:08+00:00,https://apps.apple.com/app/blinkit/review/200043,Review 43
